sku(必填),平台SKU,识别码,中文名称,英文名称,分类ID,图片URL,商品净重（g）,采购参考价（RMB）,采购员,长(cm),宽(cm),高(cm),来源url（超始值为：http://）,备注,英文报关,中文报关,申报重量（g）,申报金额（USD）,危险运输品,材质,用途,海关编码,开发员,销售方式,创建时间
C6MDMKCY01,C6MDMKCY01,,六类非屏蔽免打网络模块 青色 型号：C6MDMKCY01,,1128549,,0,2.5,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-05-05 17:08:59
C6MDMKGN01,C6MDMKGN01,,六类非屏蔽免打网络模块 绿色 型号：C6MDMKGN01,,1128549,,0,2.5,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-05-05 17:03:25
C6MDMKWT01,C6MDMKWT01,,六类非屏蔽免打网络模块 白色 型号：C6MDMKWT01,,1128549,,0,2.5,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-05-05 17:03:03
C6MDMKBK01,C6MDMKBK01,,六类非屏蔽免打网络模块 黑色 型号：C6MDMKBK01,,1128549,,0,2.5,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-05-05 17:02:03
6933910412363,6933910412363,,JEYI 3.5寸5G双盘硬RAID阵列硬盘盒 型号：Giboat3502,,1128549,,0,0.0,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-30 17:23:05
6933910412257,6933910412257,,2230 NVME转SD Express转接卡 型号：B526,,1190991,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744487950425/0/20260430160629/127ce487369dc5f7761e265b21ddafe4.jpg,0,0.1,无,0,0,0,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-30 16:06:28
PG40X16LL1890BK50,PG40X16LL1890BK50,,工程级散线 PCIE4.0 X16显卡延长线(1890) 左进左出 50CM 黑色 型号: PG40X16LL1890BK50,,1128549,,215.2,140.0,无,31,24,5,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-28 15:04:37
6933910412295,6933910412295,,PCI-EX1转M.2 E.Key转接 卡蜻蜓WIFI (不挡显卡)  型号：P761,,1128549,,0,0.0,无,0,0,0,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-22 18:39:53
6933910412288,6933910412288,,PCle4.0转M.2转接卡 蜻蜓x1版 (不挡显卡)  型号：P739,,1128549,,0,0.0,无,0,0,0,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-22 18:39:18
6933910412271,6933910412271,,PCle4.0转M.2转接卡 蜻蜓X4 22110版 (不挡显卡)  型号：P753,,1128549,,0,20.0,无,0,0,0,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-22 18:34:52
6933910423956,6933910423956,,M.2 NVMe 22110转PCIE 4.0 X4 转接卡 型号：RZ404Pro,,1128549,,0,10.0,无,0,0,0,,,,,0,0,0,,,,无,售卖品,2026-04-22 10:15:23
6933910423949,6933910423949,,M.2 NVMe转PCIE 4.0 X16 转接卡 型号：RZ416,,1128549,,0,5.5,无,0,0,0,,,,,0,0,0,,,,无,售卖品,2026-04-22 10:15:22
6933910423932,6933910423932,,M.2 NVMe转PCIE 4.0 X4 转接卡 型号：RZ404,,1128549,,0,6.0,无,0,0,0,,,,,0,0,0,,,,无,售卖品,2026-04-22 10:15:22
6933910423925,6933910423925,,M.2 NVMe转PCIE 4.0 X1 转接卡 型号：RZ401,,1128549,,0,4.0,无,0,0,0,,,,,0,0,0,,,,无,售卖品,2026-04-22 10:15:22
6933910412233,6933910412233,,PCIe4.0转M.2转接卡 蜻蜓x1（不挡显卡）型号：P717,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744477477913/0/20260420161219/6d46eba1ba0d3fea3ffb70d5cbfc7d9d.jpg,42,9.8,无,16.5,14.5,3.5,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-20 16:12:19
6933910412240,6933910412240,,PCIe4.0转M.2转接卡 蜻蜓X4（不挡显卡）型号：P707,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744477476979/0/20260420161109/26cf8425ea507262a8babfd28d5b698a.jpg,42,9.8,无,16.5,14.5,3.5,,,PCIE adapter,PCIE 转接卡,1,1,0,,,,JEYI2022,售卖品,2026-04-20 16:11:08
6933910412196,6933910412196,,佳翼 E1.S转PCI-E X4转接卡  型号：P679,,1190991,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744477367861/0/20260420143112/09fc153f395bf752f2c2364f091b3faa.jpg,103.6,62.0,无,20.5,20,4,,,PCIE adapter,PCIE 转接卡,1,1,0,,,8471800000,JEYI2022,售卖品,2026-04-20 14:31:11
HT65PCBU001,HT65PCBU001,,6.5MM PC水晶头护套  蓝色  1个装 型号： HT65PCBU001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473244675/0/20260429114023/71f58791a653f898825338fc63b77487.jpg,0,0.06,无,0,0,0,,,RJ45 Boot,水晶头护套,0.1,1,0,,,8538900000,JEYI2022,售卖品,2026-04-15 13:55:16
HT65PCBK001,HT65PCBK001,,6.5MM PC水晶头护套  黑色  1个装 型号： HT65PCBK001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473243199/0/20260429113907/b542de7e80644767fce361ce03af377e.jpg,0,0.06,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:54:18
HT65PCRD001,HT65PCRD001,,6.5MM PC水晶头护套  红色  1个装 型号： HT65PCRD001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473243045/0/20260429113922/f21fc515879fa7bfdfc308fae72e975b.jpg,0,0.06,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:53:50
HT65PCGN001,HT65PCGN001,,6.5MM PC水晶头护套  绿色  1个装 型号： HT65PCGN001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473242865/0/20260429113939/ff0afdf053ffe5a570fe1882982a5a8f.jpg,0,0.06,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:53:28
HT65PCYL001,HT65PCYL001,,6.5MM PC水晶头护套  黄色  1个装 型号： HT65PCYL001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473242677/0/20260429113949/13622e44baef3d0531c456809b3b202d.jpg,0,0.06,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:52:55
HT65PVCBK001,HT65PVCBK001,,6.5MM PVC水晶头护套  黑色  1个装 型号： HT65PVCBK001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473241847/0/20260429112911/286bff1af106d8ebe8796d5c3a7eaa0b.jpg,0,0.025,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:52:08
HT65PVCBU001,HT65PVCBU001,,6.5MM PVC水晶头护套  蓝色  1个装 型号： HT65PVCBU001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473241655/0/20260429111301/cd37010d15302cb584b7a791f086a6a2.jpg,0,0.025,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:51:51
C6S1TKGN001,C6S1TKGN001,,六类非屏蔽通孔绿色水晶头 一排1.08mm 单个装 型号：C6S1TKGN001,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744473239213/0/20260429101532/ac8aa1bf52a5bc9b36e7a2430c070bb4.jpg,0,0.075,无,0,0,0,,,,,0,0,0,,,,JEYI2022,售卖品,2026-04-15 13:50:02
