SKU,平台SKU,识别码,中文名称,英文名称,分类ID,组合SKU主图URL,包含的商品SKU,数量,长(cm),宽(cm),高(cm),来源url（超始值为：http://）,备注,英文报关名,中文报关名,申报重量(g),申报金额(USD),危险运输品,材质,用途,海关编码,销售方式,创建时间
2966+2188,2966+2188,,PCIE 5.0 X16 显卡延长线（180度 1890）25CM 白 S+瓦尔基理 3卡槽带隔离显卡支架 白色,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744495447083/0/20260511083558/d88c0ccf21e1f3292f04ec13bd4787a2.jpg,6933910422188,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-11 08:35:58
2966+2188,2966+2188,,PCIE 5.0 X16 显卡延长线（180度 1890）25CM 白 S+瓦尔基理 3卡槽带隔离显卡支架 白色,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744495447083/0/20260511083558/d88c0ccf21e1f3292f04ec13bd4787a2.jpg,6933910422966,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-11 08:35:58
6933910406300*2,6933910406300*2,,佳翼 散热片海鲨二代 红色   两片装,,1128549,,6933910406300,2,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-09 15:58:09
1297+3529,1297+3529,,PCIE4.0 X16显卡延长线(180度 1890) 40CM 白色+适合两/三卡位 显卡竖装加长支架 白色,,1128549,,6933910421297,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-08 13:33:06
1297+3529,1297+3529,,PCIE4.0 X16显卡延长线(180度 1890) 40CM 白色+适合两/三卡位 显卡竖装加长支架 白色,,1128549,,6933910423529,1,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-08 13:33:06
DC6UZTMKCBK05,DC6UZTMKCBK05,,六类非屏蔽直通模块长款黑色 5个装,,1128549,,DC6UZTMKCBK01,5,0,0,0,,,,,0,0,0,,,,售卖品,2026-05-07 09:10:35
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,C6S1TKBU001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,C6S1TKRD001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,C6S1TKBK001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,C6S1TKYL001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,C6S1TKGN001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,HT65PCYL001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,HT65PCGN001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
5SHUSJT10,5SHUSJT10,,六类非屏蔽通孔5色混合水晶头10个装+ PC6.5mm5色混合保护套10个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744490659499/0/20260505172150/bf16caa395e579a7944ce4847c7b084f.jpg,HT65PCRD001,2,14,9,1,,,,,0,0,0,,,,售卖品,2026-05-05 17:21:50
